call_failure,complains,charge_amount,seconds_of_use,frequency_of_SMS,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn
8,0,0,4370,5,17,3,1,1,197.64,0
0,0,0,318,7,4,2,1,2,46.035,0
10,0,0,2453,359,24,3,1,1,1536.52,0
10,0,0,4198,1,35,1,1,1,240.02,0
3,0,0,2393,2,33,1,1,1,145.805,0
11,0,1,3775,32,28,3,1,1,282.28,0
4,0,0,2360,285,18,3,1,1,1235.96,0
13,0,2,9115,144,43,3,1,1,945.44,0
7,0,0,13773,0,44,3,1,1,557.68,0
7,0,1,4515,2,25,3,1,1,191.92,0
6,0,0,5918,7,12,3,1,1,268.52,0
9,0,0,2238,8,17,3,1,2,123.68,0
25,0,3,15140,54,32,3,1,1,830.6,0
4,0,1,3095,483,8,3,1,1,2056.88,0
9,0,0,15485,150,30,2,1,1,1380.015,0
3,0,1,6500,186,26,3,1,1,1007.44,0
0,0,0,875,0,11,2,1,2,40.005,1
2,0,0,710,13,8,3,1,2,80.96,0
3,0,0,7508,384,43,2,1,1,2071.575,0
7,0,1,11465,11,47,4,1,1,317.975,0
8,0,1,6718,108,37,2,1,1,791.685,0
23,1,0,955,16,17,2,1,2,117.09,1
21,1,8,10435,1,42,5,2,1,159.42,0
13,1,1,5818,26,24,2,1,1,383.22,1
1,0,0,2840,0,14,3,1,1,114.48,0
9,0,0,2990,9,16,3,1,2,157.24,1
9,1,0,2268,34,31,3,1,2,228.48,1
0,0,0,133,0,2,3,1,2,5.4,1
1,0,0,1668,0,6,3,1,1,67.72,0
3,0,1,6785,14,22,5,1,1,124.23,0
0,1,0,628,9,4,4,1,2,38.375,1
0,0,1,338,4,2,5,1,1,11.13,0
25,0,3,16075,0,80,2,2,1,734.085,0
6,0,3,6965,271,33,2,2,1,1538.145,0
2,0,0,3718,2,28,2,1,1,180.0,0
3,0,0,1665,38,20,3,1,2,220.36,0
6,0,0,2780,175,23,2,1,1,914.985,0
4,0,1,1315,193,11,2,2,1,929.295,0
4,0,0,1568,30,68,4,1,1,115.175,0
11,0,0,700,10,7,2,1,2,77.625,0
0,0,0,825,21,3,4,1,2,73.375,1
10,0,0,1225,19,13,2,1,1,142.065,0
2,0,0,3225,8,23,3,1,1,163.44,0
2,0,0,1695,28,14,2,1,1,203.445,0
16,0,1,6393,85,42,2,2,1,676.53,0
12,0,0,8933,73,40,4,1,1,410.1,0
8,0,3,2853,31,19,3,2,1,239.92,0
2,0,1,4390,215,10,3,1,1,1037.2,0
3,0,1,1488,0,7,3,1,1,60.28,1
11,0,1,4430,10,19,3,1,1,220.16,0
3,0,1,378,12,6,3,1,1,63.44,0
13,0,1,2513,364,26,3,1,1,1559.04,0
13,0,1,4258,6,37,1,1,1,270.985,0
6,0,1,2453,7,35,2,1,1,144.63,0
14,0,2,3835,37,30,3,2,1,304.8,0
7,0,1,2420,290,20,3,1,1,1258.48,0
16,0,3,9175,149,45,3,1,1,967.96,0
10,0,1,13833,5,46,3,1,1,580.2,0
10,0,2,4575,7,27,3,1,1,214.44,0
9,0,1,5978,12,14,3,1,1,291.04,0
12,0,1,2298,13,19,3,1,1,146.2,0
28,0,4,15200,59,34,3,1,1,853.12,0
7,0,2,3155,488,10,3,1,1,2079.4,0
12,0,1,15545,155,32,2,1,1,1405.35,0
6,0,2,6560,191,28,3,1,1,1029.96,0
3,0,1,935,5,13,2,1,1,65.34,0
5,0,1,770,18,10,3,1,1,103.48,0
3,1,1,60,5,2,2,1,1,25.335,1
6,0,1,7568,389,45,3,1,1,1863.92,0
10,0,2,11525,16,49,4,2,1,332.05,0
11,0,2,6778,113,39,2,1,1,817.02,0
26,1,1,1015,21,19,3,1,1,126.6,1
24,1,9,10495,6,44,5,2,1,167.865,0
16,0,2,5878,31,26,2,1,1,408.555,0
4,0,1,2900,5,16,3,1,1,137.0,0
12,0,1,3050,14,18,3,1,1,179.76,1
12,1,1,2328,39,33,3,1,1,251.0,1
3,0,1,193,5,4,3,1,1,27.92,1
4,0,1,1728,5,8,4,1,1,56.4,0
6,0,2,6845,19,24,5,1,1,132.675,0
3,0,1,688,14,6,4,1,1,52.45,1
3,0,2,398,9,4,5,1,1,19.575,0
28,0,4,16135,5,82,2,1,1,759.42,0
9,1,4,7025,276,35,3,2,1,1389.76,0
5,0,1,3778,7,30,3,1,1,182.52,0
6,0,1,1725,43,22,3,1,1,242.88,0
9,0,1,2840,180,25,2,1,1,940.32,0
7,0,2,1375,198,13,3,2,1,848.56,0
7,0,1,1628,35,70,4,1,1,129.25,0
14,0,1,760,15,9,3,1,1,91.52,0
3,0,1,885,26,5,4,1,1,87.45,0
13,0,1,1285,24,15,2,1,1,167.4,0
5,0,1,3285,13,25,3,1,1,185.96,0
5,0,1,1755,33,16,2,1,1,228.78,0
19,0,2,6453,90,44,2,2,1,701.865,0
15,0,1,8993,78,42,5,1,1,254.505,0
11,0,4,2913,36,21,3,1,1,262.44,0
5,0,2,4450,220,12,3,1,1,1059.72,0
6,1,2,1548,5,9,3,1,1,82.8,1
5,0,0,4310,0,15,2,1,1,197.01,0
0,0,0,258,2,2,2,1,2,20.7,0
7,0,0,2393,354,22,2,1,1,1703.25,0
7,0,0,4138,0,33,1,1,1,231.055,0
0,0,0,2333,0,31,1,1,1,131.34,0
8,0,0,3715,27,26,3,1,1,259.76,0
1,0,0,2300,280,16,3,1,1,1213.44,0
10,0,1,9055,139,41,3,1,1,922.92,0
4,0,0,13713,0,42,3,1,1,555.16,0
4,0,0,4455,0,23,3,1,1,181.4,0
3,0,0,5858,2,10,2,1,1,276.75,0
6,1,0,2178,3,15,3,1,2,101.16,0
22,0,2,15080,49,30,3,1,1,808.08,0
1,0,0,3035,478,6,3,1,1,2034.36,0
6,0,0,15425,145,28,2,1,1,1354.68,0
0,0,0,6440,181,24,3,1,1,984.92,0
0,0,0,815,0,9,2,1,2,37.17,0
