call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_SMS,distinct_called_numbers,age_group,tariff_plan,status,customer_value,churn,predicted_clv
8,0,38,0,4370,5,17,3,1,1,197.64,0,186.42920669930876
0,0,39,0,318,7,4,2,1,2,46.035,0,36.19729723933373
10,0,37,0,2453,359,24,3,1,1,1536.52,0,1559.8108043135173
10,0,38,0,4198,1,35,1,1,1,240.02,0,249.05245276999005
3,0,38,0,2393,2,33,1,1,1,145.805,0,142.84838070736163
11,0,38,1,3775,32,28,3,1,1,282.28,0,261.50809671310776
4,0,38,0,2360,285,18,3,1,1,1235.96,0,1322.2617368908477
13,0,37,2,9115,144,43,3,1,1,945.44,0,1044.655216786776
7,0,38,0,13773,0,44,3,1,1,557.68,0,548.2504194177321
7,0,38,1,4515,2,25,3,1,1,191.92,0,200.7070096762446
6,0,38,0,5918,7,12,3,1,1,268.52,0,236.36104956105697
9,0,38,0,2238,8,17,3,1,2,123.68,0,110.05064249389582
25,0,38,3,15140,54,32,3,1,1,830.6,0,835.3675208506907
4,0,38,1,3095,483,8,3,1,1,2056.88,0,2038.5550431619404
9,0,37,0,15485,150,30,2,1,1,1380.015,0,1417.399052847404
3,0,37,1,6500,186,26,3,1,1,1007.44,0,1117.7924000633343
0,0,37,0,875,0,11,2,1,2,40.005,1,38.05533315500633
2,0,38,0,710,13,8,3,1,2,80.96,0,62.14414567645131
3,0,37,0,7508,384,43,2,1,1,2071.575,0,1974.21780322591
7,0,37,1,11465,11,47,4,1,1,317.975,0,328.98899612211846
8,0,37,1,6718,108,37,2,1,1,791.685,0,876.3415296416271
23,1,33,0,955,16,17,2,1,2,117.09,1,101.4910391636123
21,1,36,8,10435,1,42,5,2,1,159.42,0,167.76083781551162
13,1,36,1,5818,26,24,2,1,1,383.22,1,374.9397042761291
1,0,34,0,2840,0,14,3,1,1,114.48,0,114.70420148953164
9,0,35,0,2990,9,16,3,1,2,157.24,1,161.04912410007475
9,1,36,0,2268,34,31,3,1,2,228.48,1,225.4018981209466
0,0,36,0,133,0,2,3,1,2,5.4,1,26.98789676354571
1,0,36,0,1668,0,6,3,1,1,67.72,0,79.99028113530208
3,0,33,1,6785,14,22,5,1,1,124.23,0,111.2669676709234
0,1,36,0,628,9,4,4,1,2,38.375,1,34.26138767550828
0,0,36,1,338,4,2,5,1,1,11.13,0,17.87388365596723
25,0,31,3,16075,0,80,2,2,1,734.085,0,680.580853364359
6,0,34,3,6965,271,33,2,2,1,1538.145,0,1599.9194969366959
2,0,36,0,3718,2,28,2,1,1,180.0,0,189.45567371848668
3,0,35,0,1665,38,20,3,1,2,220.36,0,248.46243931609615
6,0,36,0,2780,175,23,2,1,1,914.985,0,829.1088629983797
4,0,27,1,1315,193,11,2,2,1,929.295,0,821.8599088965742
4,0,26,0,1568,30,68,4,1,1,115.175,0,87.08129000136127
11,0,27,0,700,10,7,2,1,2,77.625,0,58.303245012703684
0,0,26,0,825,21,3,4,1,2,73.375,1,56.20605119240802
10,0,25,0,1225,19,13,2,1,1,142.065,0,127.01472938582268
2,0,25,0,3225,8,23,3,1,1,163.44,0,152.9460894218331
